action,severity,source_file,sheet,source_ref,session_date,activity,start_time,source_name,source_card,member_kind,member_display_id,session_id,detail
SOURCE_DATE_CORRECTED,INFO,Register for Exercise - Omnia.xlsx,2023 REGISTER,Column 12,2023-01-11,Chair Based,10:30,,,,,,Day/month source correction: 2023-11-01 -> 2023-01-11; source_activity='Chair Based - 10.30'.
SOURCE_DATE_CORRECTED,INFO,Register for Exercise - Omnia.xlsx,2023 REGISTER,Column 13,2023-01-11,Chair Based,12:30,,,,,,Day/month source correction: 2023-11-01 -> 2023-01-11; source_activity='Chair Based 12.30'.
SOURCE_DATE_CORRECTED,INFO,Register for Exercise - Omnia.xlsx,2023 REGISTER,Column 19,2023-02-01,Chair Based,10:30,,,,,,Day/month source correction: 2023-01-02 -> 2023-02-01; source_activity='Chair Based 10.30'.
SOURCE_DATE_CORRECTED,INFO,Register for Exercise - Omnia.xlsx,2023 REGISTER,Column 20,2023-02-01,Chair Based,12:30,,,,,,Day/month source correction: 2023-01-02 -> 2023-02-01; source_activity='Chair Based 12.30'.
SOURCE_DATE_CORRECTED,INFO,Register for Exercise - Omnia.xlsx,2023 REGISTER,Column 21,2023-02-01,Education,12:00,,,,,,Day/month source correction: 2023-01-02 -> 2023-02-01; source_activity='Education 12.00'.
SOURCE_DATE_CORRECTED,INFO,Register for Exercise - Omnia.xlsx,2023 REGISTER,Column 22,2023-02-08,Chair Based,10:30,,,,,,Day/month source correction: 2023-08-02 -> 2023-02-08; source_activity='Chair Based 10.30'.
SOURCE_DATE_CORRECTED,INFO,Register for Exercise - Omnia.xlsx,2023 REGISTER,Column 23,2023-02-08,Chair Based,12:30,,,,,,Day/month source correction: 2023-08-02 -> 2023-02-08; source_activity='Chair Based 12.30'.
SOURCE_DATE_CORRECTED,INFO,Register for Exercise - Omnia.xlsx,2023 REGISTER,Column 24,2023-02-08,Education,12:00,,,,,,Day/month source correction: 2023-08-02 -> 2023-02-08; source_activity='Education 12.00'.
SOURCE_DATE_CORRECTED,INFO,Register for Exercise - Omnia.xlsx,2023 REGISTER,Column 31,2023-03-01,Chair Based,11:00,,,,,,Day/month source correction: 2023-01-03 -> 2023-03-01; source_activity='Chair Based 11.00'.
SOURCE_DATE_CORRECTED,INFO,Register for Exercise - Omnia.xlsx,2023 REGISTER,Column 32,2023-03-01,Chair Based,12:30,,,,,,Day/month source correction: 2023-01-03 -> 2023-03-01; source_activity='Chair Based 12.30'.
